State or Region,Institution Sector,Sector Sort,Fall 2017 Active,Fall 2017 IPEDS Universe,Fall 2018 Active,Fall 2018 IPEDS Universe,Fall 2019 Active,Fall 2019 IPEDS Universe,Fall 2020 Active,Fall 2020 IPEDS Universe,Fall 2021 Active,Fall 2021 IPEDS Universe,Fall 2022 Active*,Fall 2022 IPEDS Universe*
Nebraska,"All Private, not-for-profit Institutions",6,33348,33691,34015,34057,35772,35813,37597,37646,35705,35750,35705,35750
Nevada,"All Private, not-for-profit Institutions",6,1580,2852,1724,2754,1641,2437,1554,2216,1552,2223,1552,2223
New Hampshire,"All Private, not-for-profit Institutions",6,107989,108624,120541,121163,130981,131259,152155,152398,163116,163381,163116,163381
New Jersey,"All Private, for-profit Institutions",7,3477,8642,3468,8895,2858,8797,2625,8535,2227,7445,2227,7445
New Mexico,"All Private, not-for-profit Institutions",6,1412,1590,1322,1498,1238,1434,1259,1423,1513,1705,1513,1705
New York,"All Private, not-for-profit Institutions",6,496270,524445,493369,522661,490693,519304,472048,499582,477813,504478,481404,504478
North Carolina,"All Private, not-for-profit Institutions",6,92284,94606,92630,94758,91201,92678,89635,91561,90028,90945,90028,90945
North Dakota,"All Private, not-for-profit Institutions",6,5648,5648,6140,6140,6111,6111,6089,6089,6295,6295,6295,6295
Ohio,"All Private, not-for-profit Institutions",6,132590,138562,132549,137356,129187,132335,125176,128247,126691,129848,126691,129848
Oklahoma,"All Private, not-for-profit Institutions",6,21610,23919,20318,22549,19958,22251,19810,22324,19929,22137,19929,22137
Oregon,"All Private, not-for-profit Institutions",6,26942,34623,26676,33809,26344,33627,25581,27240,25654,27190,26795,27190
Pennsylvania,"All Private, not-for-profit Institutions",6,282016,294537,285424,293731,282034,290962,275265,284139,273188,282208,273188,282208
Rhode Island,"All Private, not-for-profit Institutions",6,46285,46285,44836,44836,43910,44073,41151,41151,40094,40094,40094,40094
South Carolina,"All Private, not-for-profit Institutions",6,32853,34137,35514,36950,35529,37352,34606,36347,35240,36807,35240,36807
South Dakota,"All Private, not-for-profit Institutions",6,6250,7060,6516,7405,6301,6720,6372,6880,6386,7125,6386,7125
Tennessee,"All Private, not-for-profit Institutions",6,80627,84646,80561,84178,79157,82562,79503,82738,78961,82167,78961,82167
Texas,"All Private, not-for-profit Institutions",6,134230,142426,134011,141349,134248,141120,135972,141983,137689,143376,137689,143376
Utah,"All Private, not-for-profit Institutions",6,147622,147869,171607,171869,186650,186867,199891,200129,189127,189385,189127,189385
Vermont,"All Private, not-for-profit Institutions",6,17356,19165,16708,18314,16337,16685,16047,16186,16068,16194,16068,16194
Virginia,"All Private, not-for-profit Institutions",6,125852,132988,130396,137115,136593,142124,143128,148685,144294,150390,144294,150390
Washington,"All Private, not-for-profit Institutions",6,41383,42247,41428,41662,40847,41116,39292,39677,38883,39302,38883,39302
West Virginia,"All Private, not-for-profit Institutions",6,7539,8583,7373,8368,6966,7739,7067,7786,6728,7127,6728,7127
Wisconsin,"All Private, not-for-profit Institutions",6,61451,62619,60157,61343,59035,60378,58498,59252,57380,58213,57380,58213
Wyoming,"All Private, not-for-profit Institutions",6,0,464,0,0,0,0,0,0,0,0,0,0
